,A,DA,B,DB,R,subj
0,5,0,10,14,1,1
1,12,0,20,21,1,1
2,15,0,30,28,1,1
3,8,0,50,70,1,1
4,15,0,50,35,1,1
5,5,0,200,42,1,1
6,10,0,500,70,1,1
7,50,0,8000,365,1,1
8,10,0,50,56,1,1
9,20,0,20,42,0,1
10,20,0,30,35,1,1
11,8,0,50,70,1,1
12,4,0,100,365,1,1
13,50,0,150,28,1,1
14,20,0,1000,56,1,1
15,25,0,10000,730,1,1
16,5,0,10,14,1,2
17,12,0,20,21,0,2
18,15,0,30,28,0,2
19,8,0,50,70,1,2
20,15,0,50,35,0,2
21,5,0,200,42,1,2
22,10,0,500,70,1,2
23,50,0,8000,365,1,2
24,10,0,50,56,1,2
25,20,0,20,42,0,2
26,20,0,30,35,0,2
27,8,0,50,70,1,2
28,4,0,100,365,1,2
29,50,0,150,28,1,2
30,20,0,1000,56,1,2
31,25,0,10000,730,1,2
32,5,0,10,14,1,3
33,12,0,20,21,1,3
34,15,0,30,28,1,3
35,8,0,50,70,1,3
36,15,0,50,35,1,3
37,5,0,200,42,1,3
38,10,0,500,70,1,3
39,50,0,8000,365,1,3
40,10,0,50,56,1,3
41,20,0,20,42,0,3
42,20,0,30,35,1,3
43,8,0,50,70,1,3
44,4,0,100,365,1,3
45,50,0,150,28,1,3
46,20,0,1000,56,1,3
47,25,0,10000,730,1,3
48,5,0,10,14,1,4
49,12,0,20,21,0,4
50,15,0,30,28,0,4
51,8,0,50,70,1,4
52,15,0,50,35,1,4
53,5,0,200,42,1,4
54,10,0,500,70,1,4
55,50,0,8000,365,0,4
56,10,0,50,56,0,4
57,20,0,20,42,0,4
58,20,0,30,35,0,4
59,8,0,50,70,1,4
60,4,0,100,365,0,4
61,50,0,150,28,1,4
62,20,0,1000,56,1,4
63,25,0,10000,730,1,4
64,5,0,10,14,0,5
65,12,0,20,21,0,5
66,15,0,30,28,0,5
67,8,0,50,70,0,5
68,15,0,50,35,0,5
69,5,0,200,42,0,5
70,10,0,500,70,0,5
71,50,0,8000,365,1,5
72,10,0,50,56,0,5
73,20,0,20,42,0,5
74,20,0,30,35,0,5
75,8,0,50,70,0,5
76,4,0,100,365,0,5
77,50,0,150,28,0,5
78,20,0,1000,56,1,5
79,25,0,10000,730,1,5
80,5,0,10,14,1,6
81,12,0,20,21,1,6
82,15,0,30,28,1,6
83,8,0,50,70,1,6
84,15,0,50,35,1,6
85,5,0,200,42,1,6
86,10,0,500,70,1,6
87,50,0,8000,365,1,6
88,10,0,50,56,1,6
89,20,0,20,42,1,6
90,20,0,30,35,1,6
91,8,0,50,70,1,6
92,4,0,100,365,1,6
93,50,0,150,28,1,6
94,20,0,1000,56,1,6
95,25,0,10000,730,1,6
96,5,0,10,14,0,7
97,12,0,20,21,0,7
98,15,0,30,28,1,7
99,8,0,50,70,1,7
100,15,0,50,35,1,7
101,5,0,200,42,1,7
102,10,0,500,70,1,7
103,50,0,8000,365,1,7
104,10,0,50,56,0,7
105,20,0,20,42,0,7
106,20,0,30,35,0,7
107,8,0,50,70,1,7
108,4,0,100,365,1,7
109,50,0,150,28,0,7
110,20,0,1000,56,1,7
111,25,0,10000,730,1,7
112,5,0,10,14,0,8
113,12,0,20,21,0,8
114,15,0,30,28,0,8
115,8,0,50,70,0,8
116,15,0,50,35,0,8
117,5,0,200,42,1,8
118,10,0,500,70,1,8
119,50,0,8000,365,1,8
120,10,0,50,56,0,8
121,20,0,20,42,0,8
122,20,0,30,35,0,8
123,8,0,50,70,0,8
124,4,0,100,365,1,8
125,50,0,150,28,1,8
126,20,0,1000,56,1,8
127,25,0,10000,730,1,8
128,5,0,10,14,0,9
129,12,0,20,21,0,9
130,15,0,30,28,0,9
131,8,0,50,70,0,9
132,15,0,50,35,0,9
133,5,0,200,42,1,9
134,10,0,500,70,1,9
135,50,0,8000,365,1,9
136,10,0,50,56,1,9
137,20,0,20,42,0,9
138,20,0,30,35,0,9
139,8,0,50,70,0,9
140,4,0,100,365,0,9
141,50,0,150,28,1,9
142,20,0,1000,56,1,9
143,25,0,10000,730,1,9
144,5,0,10,14,1,10
145,12,0,20,21,1,10
146,15,0,30,28,0,10
147,8,0,50,70,0,10
148,15,0,50,35,1,10
149,5,0,200,42,1,10
150,10,0,500,70,1,10
151,50,0,8000,365,1,10
152,10,0,50,56,0,10
153,20,0,20,42,0,10
154,20,0,30,35,0,10
155,8,0,50,70,1,10
156,4,0,100,365,1,10
157,50,0,150,28,0,10
158,20,0,1000,56,1,10
159,25,0,10000,730,1,10
160,5,0,10,14,1,11
161,12,0,20,21,0,11
162,15,0,30,28,0,11
163,8,0,50,70,1,11
164,15,0,50,35,1,11
165,5,0,200,42,1,11
166,10,0,500,70,1,11
167,50,0,8000,365,1,11
168,10,0,50,56,1,11
169,20,0,20,42,0,11
170,20,0,30,35,0,11
171,8,0,50,70,1,11
172,4,0,100,365,1,11
173,50,0,150,28,1,11
174,20,0,1000,56,1,11
175,25,0,10000,730,1,11
176,5,0,10,14,1,12
177,12,0,20,21,1,12
178,15,0,30,28,1,12
179,8,0,50,70,1,12
180,15,0,50,35,1,12
181,5,0,200,42,1,12
182,10,0,500,70,1,12
183,50,0,8000,365,1,12
184,10,0,50,56,1,12
185,20,0,20,42,0,12
186,20,0,30,35,1,12
187,8,0,50,70,1,12
188,4,0,100,365,1,12
189,50,0,150,28,1,12
190,20,0,1000,56,1,12
191,25,0,10000,730,1,12
192,5,0,10,14,0,13
193,12,0,20,21,0,13
194,15,0,30,28,0,13
195,8,0,50,70,1,13
196,15,0,50,35,1,13
197,5,0,200,42,1,13
198,10,0,500,70,1,13
199,50,0,8000,365,1,13
200,10,0,50,56,0,13
201,20,0,20,42,0,13
202,20,0,30,35,0,13
203,8,0,50,70,0,13
204,4,0,100,365,0,13
205,50,0,150,28,1,13
206,20,0,1000,56,1,13
207,25,0,10000,730,1,13
208,5,0,10,14,1,14
209,12,0,20,21,1,14
210,15,0,30,28,1,14
211,8,0,50,70,1,14
212,15,0,50,35,1,14
213,5,0,200,42,1,14
214,10,0,500,70,1,14
215,50,0,8000,365,1,14
216,10,0,50,56,1,14
217,20,0,20,42,1,14
218,20,0,30,35,1,14
219,8,0,50,70,1,14
220,4,0,100,365,1,14
221,50,0,150,28,1,14
222,20,0,1000,56,1,14
223,25,0,10000,730,1,14
224,5,0,10,14,1,15
225,12,0,20,21,1,15
226,15,0,30,28,1,15
227,8,0,50,70,1,15
228,15,0,50,35,1,15
229,5,0,200,42,1,15
230,10,0,500,70,1,15
231,50,0,8000,365,1,15
232,10,0,50,56,1,15
233,20,0,20,42,1,15
234,20,0,30,35,1,15
235,8,0,50,70,1,15
236,4,0,100,365,1,15
237,50,0,150,28,1,15
238,20,0,1000,56,1,15
239,25,0,10000,730,1,15
240,5,0,10,14,1,16
241,12,0,20,21,1,16
242,15,0,30,28,1,16
243,8,0,50,70,1,16
244,15,0,50,35,1,16
245,5,0,200,42,1,16
246,10,0,500,70,1,16
247,50,0,8000,365,1,16
248,10,0,50,56,1,16
249,20,0,20,42,0,16
250,20,0,30,35,1,16
251,8,0,50,70,1,16
252,4,0,100,365,1,16
253,50,0,150,28,1,16
254,20,0,1000,56,1,16
255,25,0,10000,730,1,16
256,5,0,10,14,1,17
257,12,0,20,21,0,17
258,15,0,30,28,0,17
259,8,0,50,70,1,17
260,15,0,50,35,1,17
261,5,0,200,42,1,17
262,10,0,500,70,1,17
263,50,0,8000,365,1,17
264,10,0,50,56,1,17
265,20,0,20,42,0,17
266,20,0,30,35,0,17
267,8,0,50,70,1,17
268,4,0,100,365,1,17
269,50,0,150,28,1,17
270,20,0,1000,56,1,17
271,25,0,10000,730,1,17
272,5,0,10,14,1,18
273,12,0,20,21,1,18
274,15,0,30,28,1,18
275,8,0,50,70,1,18
276,15,0,50,35,1,18
277,5,0,200,42,1,18
278,10,0,500,70,1,18
279,50,0,8000,365,1,18
280,10,0,50,56,1,18
281,20,0,20,42,1,18
282,20,0,30,35,1,18
283,8,0,50,70,1,18
284,4,0,100,365,1,18
285,50,0,150,28,1,18
286,20,0,1000,56,1,18
287,25,0,10000,730,1,18
288,5,0,10,14,1,19
289,12,0,20,21,1,19
290,15,0,30,28,1,19
291,8,0,50,70,1,19
292,15,0,50,35,1,19
293,5,0,200,42,1,19
294,10,0,500,70,1,19
295,50,0,8000,365,1,19
296,10,0,50,56,1,19
297,20,0,20,42,0,19
298,20,0,30,35,1,19
299,8,0,50,70,1,19
300,4,0,100,365,1,19
301,50,0,150,28,1,19
302,20,0,1000,56,1,19
303,25,0,10000,730,1,19
304,5,0,10,14,1,20
305,12,0,20,21,1,20
306,15,0,30,28,1,20
307,8,0,50,70,1,20
308,15,0,50,35,1,20
309,5,0,200,42,1,20
310,10,0,500,70,1,20
311,50,0,8000,365,1,20
312,10,0,50,56,0,20
313,20,0,20,42,0,20
314,20,0,30,35,0,20
315,8,0,50,70,1,20
316,4,0,100,365,1,20
317,50,0,150,28,1,20
318,20,0,1000,56,1,20
319,25,0,10000,730,1,20
320,5,0,10,14,1,21
321,12,0,20,21,0,21
322,15,0,30,28,0,21
323,8,0,50,70,0,21
324,15,0,50,35,0,21
325,5,0,200,42,1,21
326,10,0,500,70,1,21
327,50,0,8000,365,1,21
328,10,0,50,56,0,21
329,20,0,20,42,0,21
330,20,0,30,35,0,21
331,8,0,50,70,0,21
332,4,0,100,365,1,21
333,50,0,150,28,1,21
334,20,0,1000,56,1,21
335,25,0,10000,730,1,21
336,5,0,10,14,0,22
337,12,0,20,21,0,22
338,15,0,30,28,0,22
339,8,0,50,70,0,22
340,15,0,50,35,0,22
341,5,0,200,42,1,22
342,10,0,500,70,1,22
343,50,0,8000,365,1,22
344,10,0,50,56,0,22
345,20,0,20,42,0,22
346,20,0,30,35,0,22
347,8,0,50,70,0,22
348,4,0,100,365,1,22
349,50,0,150,28,0,22
350,20,0,1000,56,1,22
351,25,0,10000,730,1,22
352,5,0,10,14,1,23
353,12,0,20,21,1,23
354,15,0,30,28,1,23
355,8,0,50,70,0,23
356,15,0,50,35,1,23
357,5,0,200,42,1,23
358,10,0,500,70,1,23
359,50,0,8000,365,1,23
360,10,0,50,56,0,23
361,20,0,20,42,0,23
362,20,0,30,35,0,23
363,8,0,50,70,0,23
364,4,0,100,365,0,23
365,50,0,150,28,1,23
366,20,0,1000,56,1,23
367,25,0,10000,730,1,23
368,5,0,10,14,1,24
369,12,0,20,21,1,24
370,15,0,30,28,0,24
371,8,0,50,70,1,24
372,15,0,50,35,1,24
373,5,0,200,42,1,24
374,10,0,500,70,1,24
375,50,0,8000,365,1,24
376,10,0,50,56,1,24
377,20,0,20,42,0,24
378,20,0,30,35,0,24
379,8,0,50,70,1,24
380,4,0,100,365,1,24
381,50,0,150,28,1,24
382,20,0,1000,56,1,24
383,25,0,10000,730,1,24
384,5,0,10,14,0,25
385,12,0,20,21,0,25
386,15,0,30,28,0,25
387,8,0,50,70,0,25
388,15,0,50,35,0,25
389,5,0,200,42,1,25
390,10,0,500,70,1,25
391,50,0,8000,365,1,25
392,10,0,50,56,0,25
393,20,0,20,42,0,25
394,20,0,30,35,0,25
395,8,0,50,70,0,25
396,4,0,100,365,0,25
397,50,0,150,28,0,25
398,20,0,1000,56,1,25
399,25,0,10000,730,1,25
400,5,0,10,14,1,26
401,12,0,20,21,1,26
402,15,0,30,28,1,26
403,8,0,50,70,1,26
404,15,0,50,35,1,26
405,5,0,200,42,1,26
406,10,0,500,70,1,26
407,50,0,8000,365,1,26
408,10,0,50,56,0,26
409,20,0,20,42,0,26
410,20,0,30,35,0,26
411,8,0,50,70,0,26
412,4,0,100,365,1,26
413,50,0,150,28,0,26
414,20,0,1000,56,1,26
415,25,0,10000,730,1,26
416,5,0,10,14,1,27
417,12,0,20,21,1,27
418,15,0,30,28,1,27
419,8,0,50,70,0,27
420,15,0,50,35,1,27
421,5,0,200,42,1,27
422,10,0,500,70,0,27
423,50,0,8000,365,1,27
424,10,0,50,56,0,27
425,20,0,20,42,0,27
426,20,0,30,35,0,27
427,8,0,50,70,0,27
428,4,0,100,365,0,27
429,50,0,150,28,1,27
430,20,0,1000,56,1,27
431,25,0,10000,730,1,27
432,5,0,10,14,0,28
433,12,0,20,21,0,28
434,15,0,30,28,0,28
435,8,0,50,70,0,28
436,15,0,50,35,0,28
437,5,0,200,42,1,28
438,10,0,500,70,1,28
439,50,0,8000,365,1,28
440,10,0,50,56,0,28
441,20,0,20,42,0,28
442,20,0,30,35,0,28
443,8,0,50,70,0,28
444,4,0,100,365,0,28
445,50,0,150,28,1,28
446,20,0,1000,56,1,28
447,25,0,10000,730,1,28
448,5,0,10,14,1,29
449,12,0,20,21,0,29
450,15,0,30,28,0,29
451,8,0,50,70,1,29
452,15,0,50,35,1,29
453,5,0,200,42,1,29
454,10,0,500,70,1,29
455,50,0,8000,365,1,29
456,10,0,50,56,1,29
457,20,0,20,42,0,29
458,20,0,30,35,0,29
459,8,0,50,70,1,29
460,4,0,100,365,1,29
461,50,0,150,28,1,29
462,20,0,1000,56,1,29
463,25,0,10000,730,1,29
